primary letter	primary number	name	type	sub type	author	completion date	acquisition date	insurance value	description
nmah	749024	"Engraved woodblock of a ""Zuni eating bowl"""	Print	Native Americans	"Stevenson, James"	1883-12-31	1991-12-31	3845903	"This engraved woodblock of a Zuni eating bowl was prepared by the Government Printing Office in Washington, D.C."
nmah	749281	"Engraved woodblock of a ""Woman pounding acorns"""	Print	Native Americans	"Powers, Stephen"	1877-12-31	2007-12-31	1071123	"This engraved woodblock of a Woman pounding acorns was prepared by the Government Printing Office in Washington, D.C."
nmah	749072	"Engraved woodblock titled ""Shell Gorget - The Cross"""	Print	Native Americans	"Powers, Stephen"	1883-12-31	2013-12-31	2304094	"This engraved woodblock of Shell Gorgets  the Cross was prepared by the Government Printing Office in Washington, D.C."
nmah	749030	"Engraved woodblock of a ""Zuni eating bowl"""	Print	Native Americans	"Stevenson, James"	1883-12-31	2007-12-31	1072201	"This engraved woodblock of a Zuni eating bowl was prepared by the Government Printing Office in Washington, D.C.;"
nmah	749076	"Engraved woodblock of a ""House-burial"""	Print	Native Americans	"Nichols, H. H."	1881-12-31	2000-12-31	191197	This engraved woodblock of a House-burial was prepared by Henry Hobart Nichols (1838-1887)
nmah	749332	"Engraved woodblock of the ""Arikara sign for lie or falsehood"""	Print	Native Americans	"Mallery, Garrick"	1881-12-31	2003-12-31	4417675	"This engraved woodblock of an Arikara sign for a lie or falsehood was prepared by the Government Printing Office in Washington, D.C."
nmah	749273	"Engraved woodblock of a ""Zuni eating bowl"""	Print	Native Americans	"Stevenson, James"	1883-12-31	2009-12-31	677080	"This engraved woodblock of a Zuni eating bowl was prepared by the Government Printing Office in Washington, D.C."
nmah	749342	"Engraved woodblock of ""Captain John, a Ni'-shi-nam chief"""	Print	Native Americans	"Powers, Stephen"	1877-12-31	1992-12-31	2118166	"This engraved woodblock of Captain John, a Ni-shi-nam chief was prepared by engraver Henry Hobart Nichols (1838-1887) and the Government Printing Office in Washington, D.C."
nmah	749360	"Engraved woodblock of an ""Eskimo approaching seal"""	Print	Native Americans	"Boas, Franz"	1888-12-31	2004-12-31	42590	"This engraved woodblock, after a photograph, of an Eskimo approaching seal was prepared by the Government Printing Office in Washington, D.C."
nmah	749145	"Engraved woodblock of a ""Handled cup, province of Tusayan"""	Print	Native Americans	"Holmes, William Henry"	1886-12-31	2001-12-31	2894809	"This engraved woodblock of a Handled cup, Province of Tusayan was prepared by the Government Printing Office in Washington, D.C."
nmah	552748	Snapshot of Family Gathering	Photography	African Americans	Kenneth E. Behring Center	2011-12-31	2013-12-31	2724608	"This photograph, possibly a birthday party, documents a large family group sitting and standing around a set table."
nmah	552734	Snapshot of Young Boy at Table	Photography	African Americans	Kenneth E. Behring Center	2001-12-31	2008-12-31	4438335	Here a young boy enjoys his milk at the kitchen table by the window.
nmah	552761	Snapshot with Car	Photography	African Americans	Kenneth E. Behring Center	1992-12-31	2003-12-31	4100993	Here two men are seen leaning against a car parked by a curb.
nmah	1813318	Return from the Fields	Photography	African Americans	"Eickemeyer, Jr., Rudolf"	1894-12-31	2014-12-31	1096255	"Rudolf Eickemeyer, Jr. (18621932) used a wide variety of printing processes, printing out some negatives in more than one medium. "
nmah	1002040	Casa de Mariano	Painting	Spanish	"Ferris, Stephen James"	1881-12-31	2002-12-31	2536355	"Stephen Ferris based his print Casa de Mariano on the drawing, but added details to the print like a donkey poking its head through the window and a woman spinning in the doorway of the cave."
nmah	1002043	"Alhambra, Hall of the Ambassadors"	Painting	Spanish	"Ferris, Stephen James"	2001-12-31	2014-12-31	1115610	"An unsigned exterior view of the Hall of the Ambassadors in the Alhambra complex of Granada, Spain. In another watercolor, the view serves as a frame for a story in the making. See GA*14539."
nmah	1002047	"Moorish Gate, Granada"	Painting	Spanish	"Ferris, Stephen James"	1881-12-31	2014-12-31	2015990	"Stephen Ferriss watercolor view Justicia, Granada shows the Alhambras Gate of Justice (Puerta de la Justicia) painted during the artists 1881 visit to Spain. In a letter to Sylvester R. Koehler, later Curator of Graphic Arts at the Smithsonian, Ferris, deeply moved by his experiences."
nmah	1002042	Spanish Vase	Painting	Spanish	"Ferris, Stephen James"	1881-12-31	1995-12-31	3751926	"While in Gibraltar in 1881, Stephen Ferris made this signed and dated watercolor."
nmah	1002048	Well at the Alhambra	Painting	Spanish	"Ferris, Stephen James"	1881-12-31	2015-12-31	2023774	"Unsigned watercolor made in Granada, Spain, where Ferris visited with his son Gerome in 1881. A wrought-iron device similar to a crown appears above the well."
nmah	1002036	"Thumbnail Sketches of Market People, Southern Spain"	Painting	Spanish	"Ferris, Stephen James"	1881-12-31	2001-12-31	2288093	"Varied individuals in ink, pencil and watercolor on this signed sheet are from the streets of Gibraltar."
nmah	1002050	"Seville, Spain"	Painting	Spanish	"Ferris, Stephen James"	1881-12-31	2009-12-31	2231045	Ferris painted the watercolor and graphite view of an unidentified building in Seville during his 1881 visit to southern Spain. 
nmah	1002044	"View in the Alhambra, Spain"	Painting	Spanish	"Ferris, Stephen James"	1881-12-31	1999-12-31	2807023	"Stephen Ferris sketched and painted this pencil and watercolor view of buildings in the Alhambra complex of Granada, Spain, in 1881. This is not a finished view but a work in progress. "
nmah	1002041	"House of Pilate, Seville"	Painting	Spanish	"Ferris, Stephen James"	1881-12-31	2009-12-31	4632485	"Stephen Ferris identified this unsigned watercolor as the House of Pilate (Casa de Pilatos) in Seville, Spain. The palace was built in the sixteenth century and today is the official residence of the Dukes of Medinaceli."
nmah	1002037	Moorish Arcade with Figures	Painting	Spanish	"Ferris, Stephen James"	1999-12-31	2009-12-31	2236326	"Although this watercolor and pencil drawing is unsigned, it closely resembles others signed by Stephen Ferris. For similar subject matter see Alhambra Hall of the Ambassadors, GA*14544."
nmah	1131478	Manzanar no Yuki	Painting	Japanese	"Ujihara, Akio"	1943-12-24	2013-12-31	1576861	"The name for this work is Manzanar No Yuki, which translates to ""Manzanar Snow""."
nmah	1131479	Manzanar War Relocation Ctr.	Painting	Japanese	"Ujihara, Akio"	1943-12-12	2002-12-31	3275967	"This work describes Manzanar War Relocation Ctr., which was made in 1942."
nmah	1131468	Topaz Camp	Painting	Japanese	"Asaeda, Toshio"	1943-12-31	2015-12-31	1962883	"Drawn in Topaz War Relocation Center, Utah. Although Akio Ujihara donated this watercolor along with others, this particular painting was done by Toshio Asaeda."
nmah	1131481	Out Skirt - Manzanar	Painting	Japanese	"Ujihara, Akio"	1944-01-16	2009-12-31	3281576	This work was made in 1944 by Akio Ujihara.
nmah	1131482	Deep Snow Topaz	Painting	Japanese	"Ujihara, Akio"	1944-03-15	1991-12-31	4727601	"This painting is about the heavy snow in Topaz,  which was made in 1944."
nmah	1131483	Drum Mountain Center	Painting	Japanese	"Ujihara, Akio"	1945-08-27	2014-12-31	4482661	"This painting based on Drum Mountainsin, which was made in 1945."
nmah	1131484	Mess Hall	Painting	Japanese	"Ujihara, Akio"	1944-03-01	2001-12-31	3837263	This painting is about Mess Hall made in 1944.
nmah	1131477	Topaz Mountain	Painting	Japanese	"Ujihara, Akio"	1943-12-31	2015-12-31	251171	This painting was made on Topaz Mountain in 1943.
nmah	993649	Cons. Sorbe	Utensil	Italian	Bristol-Myers Squibb Company	2013-12-31	2014-12-31	3077419	"The label at the waist of this drug jar reads Cons. Sorbe. Sorbus is a tree or shrub within the Rose family. Its berries grow in clusters, and can be made into tea, jam, syrup, and fortified wine. "
nmah	993606	Drug Jar	Utensil	Italian	Bristol-Myers Squibb Company	2001-12-31	2004-12-31	449754	"This ovoid-shaped container is decorated with blue arches or false gadroons, and is marrked with the alchemical symbol for spirits above the initials V.Z. "
nmah	993447	Drug Jar	Utensil	Italian	Bristol-Myers Squibb Company	2004-12-31	2015-12-31	281655	"This ovoid-shaped container is decorated with blue arches or false gadroons, and is marked G.B.B. In Apothecary Jars by Rudolf Drey, a jar similar to 1991.0664.0648 through 1991.0664.0664 is illustrated, and attributed to Savona, a seaport town in northern Italy it has a similar blue and manganese pallet. "
nmah	993448	FarFar	Utensil	Italian	Bristol-Myers Squibb Company	1993-12-31	1995-12-31	120252	"This ovoid-shaped container is decorated with blue arches or false gadroons, and is attributed to Savona, a seaport town in northern Italy, it has a similar blue and manganese pallet. "
